MA_line	SNP rate
CC1373_1	1.65E-09
CC1373_10	3.15E-09
CC1373_11	2.11E-09
CC1373_13	3.36E-09
CC1373_14	1.95E-09
CC1373_15	0.000000000128712
CC1373_2	3.98E-09
CC1373_3	2.39E-09
CC1373_4	1.46E-09
CC1373_5	2.76E-09
CC1373_6	2.59E-09
CC1373_7	1.88E-09
CC1373_8	2.65E-09
CC1952_1	2.72E-10
CC1952_10	1.73E-10
CC1952_11	2.42E-10
CC1952_12	5.44E-10
CC1952_13	4.11E-10
CC1952_14	2.38E-10
CC1952_15	2.59E-10
CC1952_2	4.33E-10
CC1952_3	3.61E-10
CC1952_4	2.83E-11
CC1952_5	4.17E-10
CC1952_6	5.00E-10
CC1952_7	3.40E-10
CC1952_8	6.50E-10
CC2342_1	
CC2342_10	6.85E-10
CC2342_11	7.48E-10
CC2342_12	6.46E-10
CC2342_13	1.39E-09
CC2342_14	
CC2342_15	6.92E-10
CC2342_2	
CC2342_3	2.07E-09
CC2342_4	2.21E-09
CC2342_5	1.17E-09
CC2342_7	7.24E-10
CC2342_8	2.39E-10
CC2342_9	5.70E-10
CC2344_1	4.96E-09
CC2344_10	7.15E-10
CC2344_11	5.92E-10
CC2344_12	8.73E-10
CC2344_13	5.40E-10
CC2344_14	5.00E-10
CC2344_15	5.49E-10
CC2344_2	9.75E-10
CC2344_3	6.77E-10
CC2344_4	3.71E-10
CC2344_5	6.93E-10
CC2344_6	3.51E-10
CC2344_7	4.86E-10
CC2344_8	8.45E-10
CC2344_9	2.75E-10
CC2931_1	9.75E-10
CC2931_10	8.18E-10
CC2931_11	9.74E-10
CC2931_12	1.85E-09
CC2931_13	1.07E-09
CC2931_14	7.32E-10
CC2931_15	1.01E-09
CC2931_2	1.06E-09
CC2931_3	5.43E-10
CC2931_4	1.11E-09
CC2931_5	3.62E-09
CC2931_6	7.76E-10
CC2931_7	7.92E-10
CC2931_9	1.25E-09
CC2937_1	6.12E-10
CC2937_10	4.22E-10
CC2937_11	2.80E-10
CC2937_12	3.87E-10
CC2937_13	5.43E-10
CC2937_14	6.35E-10
CC2937_15	3.28E-10
CC2937_2	2.85E-10
CC2937_3	5.81E-10
CC2937_4	3.22E-10
CC2937_5	4.53E-10
CC2937_6	4.06E-10
CC2937_7	2.20E-10
CC2937_8	2.88E-10
CC2937_9	1.09E-09
