MA_line	indel rate
CC1373_1	3.56E-10
CC1373_10	4.09E-10
CC1373_11	4.18E-10
CC1373_13	1.14E-10
CC1373_14	7.28E-10
CC1373_15	0.00000000032178
CC1373_2	2.54E-10
CC1373_3	2.05E-10
CC1373_4	1.66E-10
CC1373_5	2.87E-10
CC1373_6	2.91E-10
CC1373_7	3.83E-10
CC1373_8	2.62E-10
CC1952_1	6.19E-11
CC1952_10	4.94E-11
CC1952_11	8.91E-11
CC1952_12	6.33E-11
CC1952_13	6.42E-11
CC1952_14	4.76E-11
CC1952_15	1.11E-10
CC1952_2	9.63E-11
CC1952_3	4.82E-11
CC1952_4	0.00E+00
CC1952_5	2.19E-11
CC1952_6	4.88E-11
CC1952_7	8.81E-11
CC1952_8	4.87E-11
CC2342_1	
CC2342_10	6.97E-11
CC2342_11	8.18E-11
CC2342_12	3.59E-11
CC2342_13	1.30E-10
CC2342_14	
CC2342_15	1.06E-10
CC2342_2	
CC2342_3	1.79E-10
CC2342_4	1.32E-10
CC2342_5	9.65E-11
CC2342_7	2.33E-11
CC2342_8	7.18E-11
CC2342_9	6.95E-11
CC2344_1	7.35E-10
CC2344_10	1.14E-10
CC2344_11	7.39E-11
CC2344_12	1.25E-10
CC2344_13	1.25E-10
CC2344_14	1.43E-10
CC2344_15	1.83E-10
CC2344_2	1.75E-10
CC2344_3	1.46E-10
CC2344_4	3.54E-11
CC2344_5	2.17E-10
CC2344_6	1.48E-10
CC2344_7	1.08E-10
CC2344_8	1.17E-10
CC2344_9	1.01E-10
CC2931_1	1.54E-10
CC2931_10	2.48E-10
CC2931_11	1.47E-10
CC2931_12	1.19E-09
CC2931_13	1.83E-10
CC2931_14	3.06E-10
CC2931_15	9.53E-10
CC2931_2	5.37E-10
CC2931_3	1.86E-10
CC2931_4	2.63E-10
CC2931_5	9.43E-10
CC2931_6	2.80E-10
CC2931_7	1.15E-10
CC2931_9	1.94E-10
CC2937_1	1.79E-10
CC2937_10	2.24E-10
CC2937_11	2.80E-11
CC2937_12	1.16E-10
CC2937_13	1.19E-10
CC2937_14	1.56E-10
CC2937_15	1.57E-10
CC2937_2	9.50E-11
CC2937_3	1.42E-10
CC2937_4	2.23E-10
CC2937_5	4.00E-11
CC2937_6	1.57E-10
CC2937_7	2.75E-11
CC2937_8	1.60E-10
CC2937_9	2.18E-10
