MA-line,Generations
CC-1373_MA1,771
CC-1373_MA2,683
CC-1373_MA3,678
CC-1373_MA4,689
CC-1373_MA5,693
CC-1373_MA6,749
CC-1373_MA7,766
CC-1373_MA8,725
CC-1373_MA10,630
CC-1373_MA11,751
CC-1373_MA13,773
CC-1373_MA14,732
CC-1373_MA15,198
CC-1952_MA1,1074
CC-1952_MA2,1083
CC-1952_MA3,1077
CC-1952_MA4,954
CC-1952_MA5,703
CC-1952_MA6,1064
CC-1952_MA7,1048
CC-1952_MA8,1000
CC-1952_MA10,1047
CC-1952_MA11,1066
CC-1952_MA12,1044
CC-1952_MA13,1002
CC-1952_MA14,1085
CC-1952_MA15,1049
CC-2342_MA1,1109
CC-2342_MA2,950
CC-2342_MA3,1048
CC-2342_MA4,1093
CC-2342_MA5,1121
CC-2342_MA7,1126
CC-2342_MA8,562
CC-2342_MA9,959
CC-2342_MA10,1130
CC-2342_MA11,1109
CC-2342_MA12,826
CC-2342_MA13,1128
CC-2342_MA14,1091
CC-2342_MA15,1122
CC-2344_MA1,912
CC-2344_MA2,923
CC-2344_MA3,1000
CC-2344_MA4,809
CC-2344_MA5,958
CC-2344_MA6,971
CC-2344_MA7,991
CC-2344_MA8,1010
CC-2344_MA9,901
CC-2344_MA10,917
CC-2344_MA11,890
CC-2344_MA12,950
CC-2344_MA13,961
CC-2344_MA14,931
CC-2344_MA15,947
CC-2931_MA1,1050
CC-2931_MA2,1057
CC-2931_MA3,1000
CC-2931_MA4,1011
CC-2931_MA5,994
CC-2931_MA6,1083
CC-2931_MA7,1067
CC-2931_MA9,1079
CC-2931_MA10,1098
CC-2931_MA11,1021
CC-2931_MA12,787
CC-2931_MA13,1041
CC-2931_MA14,1016
CC-2931_MA15,1053
CC-2937_MA1,925
CC-2937_MA2,991
CC-2937_MA3,996
CC-2937_MA4,1019
CC-2937_MA5,951
CC-2937_MA6,977
CC-2937_MA7,954
CC-2937_MA8,404
CC-2937_MA9,967
CC-2937_MA10,949
CC-2937_MA11,956
CC-2937_MA12,981
CC-2937_MA13,965
CC-2937_MA14,984
CC-2937_MA15,916
